species_name,classification
Bombax_ceiba,Common
Bombycilaena_discolor,Common
Boronia_ledifolia,Relict
Boronia_pinnata,Relict
Boscia_albitrunca,Common
Bossiaea_cinerea,Competitively Rare
Bossiaea_ensata,Common
Bossiaea_eriocarpa,Competitively Rare
Bossiaea_foliosa,Competitively Rare
Bossiaea_heterophylla,Common
Bossiaea_obcordata,Competitively Rare
Bothriochloa_macra,Common
Bouteloua_dactyloides,Common
Bouteloua_simplex,Competitively Rare
Brachychiton_australis,Common
Brachychiton_populneus,Common
Brachyglottis_bellidioides,Competitively Rare
Brachyloma_daphnoides,Common
Brachypodium_distachyon,Common
Brachypodium_phoenicoides,Competitively Rare
Brachypodium_retusum,Common
Brachypodium_sylvaticum,Common
Brachyscome_obovata,Competitively Rare
Brachyscome_scapigera,Competitively Rare
Brachystegia_boehmii,Classically Rare
Brachystegia_spiciformis,Relict
Brassica_nigra,Common
Brassica_repanda,Competitively Rare
Brassica_tournefortii,Common
Breynia_oblongifolia,Common
Breynia_stipitata,Competitively Rare
Breynia_vitis-idaea,Competitively Rare
Brickellia_eupatorioides,Potentially Invasive
Bridelia_cathartica,Relict
Briza_media,Common
Bromus_diandrus,Common
Bromus_erectus,Common
Bromus_fasciculatus,Competitively Rare
Bromus_madritensis,Common
Bromus_ramosus,Potentially Invasive
Bromus_sterilis,Common
Bromus_variegatus,Competitively Rare
Brosimum_acutifolium,Competitively Rare
Brosimum_lactescens,Endemic
Brosimum_parinarioides,Competitively Rare
Brosimum_rubescens,Competitively Rare
Brosimum_utile,Common
Brunonia_australis,Adaptable Survivor
Buchanania_arborescens,Common
Buchanania_obovata,Common
Buddleja_davidii,Keystone
Bulbine_semibarbata,Adaptable Survivor
Bulnesia_arborea,Relict
Buphthalmum_salicifolium,Common
Bupleurum_baldense,Common
Bupleurum_falcatum,Common
Bupleurum_fruticosum,Adaptable Survivor
Bupleurum_longifolium,Common
Bupleurum_praealtum,Common
Bupleurum_ranunculoides,Common
Burchardia_umbellata,Adaptable Survivor
Bursaria_spinosa,Common
Bursera_fagaroides,Common
Bursera_simaruba,Common
Butea_monosperma,Keystone
Butomus_umbellatus,Keystone
Buxus_balearica,Competitively Rare
Buxus_sempervirens,Common
Byrsonima_crassifolia,Adaptable Survivor
Cakile_maritima,Common
Calamagrostis_arundinacea,Common
Calamagrostis_canescens,Potentially Invasive
Calamagrostis_carinata,Competitively Rare
Calamagrostis_lapponica,Common
Calamagrostis_purpurea,Common
Calamagrostis_varia,Common
Calendula_arvensis,Common
Calendula_officinalis,Potentially Invasive
Calepina_irregularis,Adaptable Survivor
Calicotome_villosa,Potentially Invasive
Callicarpa_pedunculata,Relict
Callicoma_serratifolia,Relict
Callitriche_brutia,Adaptable Survivor
Callitriche_stagnalis,Adaptable Survivor
Callitris_rhomboidea,Adaptable Survivor
Calluna_vulgaris,Common
Calophyllum_vexans,Relict
Calotis_cuneifolia,Common
Calotis_hispidula,Common
Calotis_inermis,Competitively Rare
Caltha_obtusa,Relict
Calystegia_silvatica,Potentially Invasive
Camelina_sativa,Common
Camellia_sasanqua,Classically Rare
Campanula_barbata,Common
Campanula_bononiensis,Common
Campanula_erinus,Common
Campanula_patula,Common
Campanula_persicifolia,Common
Campanula_pyramidalis,Competitively Rare
Campanula_rapunculus,Common
Campanula_rotundifolia,Common
Campanula_scheuchzeri,Common
Campanula_sibirica,Common
Camphorosma_monspeliaca,Competitively Rare
Cananga_odorata,Adaptable Survivor
Canarium_oleosum,Relict
Canella_winterana,Relict
Cannabis_sativa,Adaptable Survivor
Canthium_inerme,Competitively Rare
Capparis_cynophallophora,Endemic
Capparis_spinosa,Potentially Invasive
Capparis_tomentosa,Common
Capsicum_annuum,Common
Caragana_jubata,Common
Caragana_microphylla,Endemic
Cardamine_amara,Common
